[1|K0a1]
[L^4*M^2 - L^2*M^4 + 2*M^4 - 3*M^2 + 2 - 3*L^-2*M^2 + 2*L^-2 + L^-4|K11n114]
[L^4*M^2 - L^2*M^4 + 2*M^4 + L^2 - 3*M^2 - L^-2*M^4 + 2 + L^-2*M^2 - L^-2 + L^-4*M^2 - L^-4|K10a31]
[L^4*M^2 - L^2*M^4 + 2*M^4 + L^2 - 4*M^2 + 3 - 2*L^-2*M^2 + L^-2|mK10n41]
[L^4*M^2 - L^2*M^4 + 2*M^4 + L^2 - 4*M^2 + 4 - 3*L^-2*M^2 + 3*L^-2 + L^-4|mK11n83]
[L^4*M^2 - L^2*M^4 + 2*M^4 - L^2 - M^2 - L^-2*M^4 + 1 - 2*L^-2*M^2 + 2*L^-2 + 2*L^-4*M^2 - L^-6|K11a201]
[L^4*M^2 - L^2*M^4 + 2*M^4 - L^2 - M^2 - L^-2*M^4 - L^-2*M^2 + 2*L^-4*M^2 - L^-4 - L^-6|K11a98]
[L^4*M^2 - L^2*M^4 - L^2*M^2 + 3*M^4 - 3*M^2 - 2*L^-2*M^4 + 2 + L^-2 + 3*L^-4*M^2 - L^-4 - L^-6|K11a280]
[L^4*M^2 - L^2*M^4 + L^2*M^2 + M^4 - 2*L^2 + M^2 - 2 - 2*L^-2*M^2 + L^-4|K9a37]
[L^4*M^2 - L^2*M^4 + L^2*M^2 + M^4 - L^2 - 2*L^-2*M^2 + L^-2 + L^-4|K9a19]
[-L^4*M^2 + L^2*M^4 - L^2*M^2 - M^4 - L^2 + 2*M^2 - 1 + L^-2*M^2 - L^-2|K10n24]
[L^4*M^2 - L^2*M^4 + L^2*M^2 + M^4 - M^2 + 1 - L^-2*M^2|mK10n23]
[L^4*M^2 - L^2*M^4 - L^4 + 2*L^2*M^2 + M^4 - 2*L^2 - M^2 + 1 - 2*L^-2*M^2 + 2*L^-2 + L^-4|K11n62]
[L^4*M^2 - L^2*M^4 - L^4 + 2*L^2*M^2 + M^4 - 2*L^2 - M^2 - L^-2*M^2|mK8a13]
[-L^4*M^2 + L^2*M^4 + L^4 - 2*L^2*M^2 - M^4 + 2*M^2 + L^-2*M^4 - 3*L^-2*M^2 + 2*L^-2 - L^-4*M^2 + 2*L^-4|mK10a4]
[-L^4*M^2 + L^2*M^4 + L^4 - 2*L^2*M^2 - M^4 + 3*M^2 - 2 + L^-2*M^2 - 2*L^-2|mK8a4]
[L^4*M^2 - L^2*M^4 - L^4 + 2*L^2*M^2 + M^4 - L^2 - 2*M^2 + 2 - L^-2*M^2 + L^-2|K10n6]
[L^4*M^2 - L^2*M^4 - L^4 + 2*L^2*M^2 + M^4 - L^2 - 2*M^2 + 2 - L^-2*M^2 + L^-2|mK8a8]
[-L^4*M^2 + L^2*M^4 + L^4 - 2*L^2*M^2 - M^4 + L^2 + 2*M^2 + L^-2*M^2 - L^-2|mK11n20]
[-L^4*M^2 + L^2*M^4 + L^4 - 2*L^2*M^2 - M^4 + L^2 + M^2 + L^-2*M^4 - L^-2*M^2 - 2*L^-4*M^2 + 2*L^-4 + L^-6|mK11a59]
[-L^4*M^2 + L^2*M^4 + L^4 - 3*L^2*M^2 + 2*L^2 - M^2 + 2|K6a2]
[L^4*M^2 - L^2*M^4 - L^4 + 3*L^2*M^2 - 3*L^2 + 2*M^2 - 2 - L^-2|K9n3]
[L^4*M^2 - L^2*M^4 - L^4 + 3*L^2*M^2 - 3*L^2 + M^2 + L^-2*M^4 - 4*L^-2*M^2 + 3*L^-2 - L^-4*M^2 + 2*L^-4|mK11n97]
[L^4*M^2 - L^2*M^4 - L^4 + L^2*M^2 + 2*M^4 - 4*M^2 - L^-2*M^4 + 3 + L^-2*M^2 + L^-4*M^2 - L^-4|K5a2,mK5a2]
[L^4*M^2 - L^2*M^4 - L^4 + L^2*M^2 + 2*M^4 - 4*M^2 - L^-2*M^4 + 3 + L^-2*M^2 + L^-4*M^2 - L^-4|mK5a2,K5a2]
[L^4*M^2 - L^2*M^4 - L^4 + L^2*M^2 + 2*M^4 - 5*M^2 + 4 - 2*L^-2*M^2 + 2*L^-2|K10n12]
[L^4*M^2 - L^2*M^4 - L^4 + L^2*M^2 + 2*M^4 - L^2 - 3*M^2 - L^-2*M^4 + 1 + L^-2*M^2 - L^-2 + L^-4*M^2 - L^-4|K10a37]
[L^4*M^2 - L^2*M^4 - L^4 + L^2*M^2 + 2*M^4 - L^2 - 3*M^2 - L^-2*M^4 + 1 + L^-2*M^2 - L^-2 + L^-4*M^2 - L^-4|mK10a37]
[L^4*M^2 - L^2*M^4 - L^4 + L^2*M^2 + 2*M^4 - L^2 - 3*M^2 - L^-2*M^4 + 2 + L^-2 + L^-4*M^2|mK10a31]
[L^4*M^2 - M^6 - 2*L^2*M^2 + 6*M^4 + 2*L^2 - 9*M^2 + L^-2*M^4 + 5 - 4*L^-2*M^2 + 2*L^-2|K11n145]
[L^4*M^2 - M^6 - L^4 + 5*M^4 - L^2 - 6*M^2 + L^-2*M^4 + 2 - 3*L^-2*M^2 + L^-2|K11n96]
[L^4*M^2 - M^6 - L^4 - L^2*M^2 + 6*M^4 + L^2 - 10*M^2 + L^-2*M^4 + 6 - 4*L^-2*M^2 + 3*L^-2|mK10n30]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 6*L^2*M^4 - 4*M^6 - 4*L^2*M^2 + 5*M^4 - L^-2*M^6 - L^2 - M^2 + 2*L^-2*M^4 - 1 - L^-2|K11a351]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 6*L^2*M^4 - 4*M^6 + L^4 - 5*L^2*M^2 + 5*M^4 - L^-2*M^6 + L^2 - M^2 + 2*L^-2*M^4 - L^-2|mK11a164]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 6*L^2*M^4 - 4*M^6 + L^4 - 6*L^2*M^2 + 6*M^4 - L^-2*M^6 + 2*L^2 - 4*M^2 + 2*L^-2*M^4 + 2 - L^-2*M^2|mK11a287]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 6*L^2*M^4 - 4*M^6 + L^4 - 7*L^2*M^2 + 7*M^4 - L^-2*M^6 + 4*L^2 - 8*M^2 + 2*L^-2*M^4 + 6 - 2*L^-2*M^2 + 2*L^-2|K11a332]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + 2*L^4 - 10*L^2*M^2 + 11*M^4 - L^-2*M^6 + 5*L^2 - 11*M^2 + 3*L^-2*M^4 + 5 - 4*L^-2*M^2 + L^-2|mK11a274]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + 2*L^4 - 9*L^2*M^2 + 10*M^4 - L^-2*M^6 + 4*L^2 - 8*M^2 + 3*L^-2*M^4 + 3 - 3*L^-2*M^2|mK11a300]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 7*L^2*M^2 + 9*M^4 - L^-2*M^6 + L^2 - 5*M^2 + 3*L^-2*M^4 - 2*L^-2*M^2 - L^-2|mK11a80]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 8*L^2*M^2 + 10*M^4 - L^-2*M^6 + 2*L^2 - 8*M^2 + 3*L^-2*M^4 + 2 - 3*L^-2*M^2|mK11a189]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 8*L^2*M^2 + 10*M^4 - L^-2*M^6 + 3*L^2 - 9*M^2 + 3*L^-2*M^4 + 4 - 3*L^-2*M^2 + L^-2|K11a160]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 8*L^2*M^2 + 10*M^4 - L^-2*M^6 + 3*L^2 - 9*M^2 + 3*L^-2*M^4 + 4 - 3*L^-2*M^2 + L^-2|K11a289]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 8*L^2*M^2 + 10*M^4 - L^-2*M^6 + 3*L^2 - 9*M^2 + 3*L^-2*M^4 + 4 - 3*L^-2*M^2 + L^-2|mK11a76]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 9*L^2*M^2 + 11*M^4 - L^-2*M^6 + 4*L^2 - 12*M^2 + 3*L^-2*M^4 + 6 - 4*L^-2*M^2 + 2*L^-2|K11a24]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 9*L^2*M^2 + 11*M^4 - L^-2*M^6 + 4*L^2 - 12*M^2 + 3*L^-2*M^4 + 6 - 4*L^-2*M^2 + 2*L^-2|K11a26]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 7*L^2*M^4 - 5*M^6 + L^4 - 9*L^2*M^2 + 11*M^4 - L^-2*M^6 + 4*L^2 - 12*M^2 + 3*L^-2*M^4 + 6 - 4*L^-2*M^2 + 2*L^-2|K11a315]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 8*L^2*M^4 - 6*M^6 - 10*L^2*M^2 + 15*M^4 - L^-2*M^6 + 3*L^2 - 17*M^2 + 4*L^-2*M^4 + 7 - 6*L^-2*M^2 + 3*L^-2|K11a109]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 8*L^2*M^4 - 6*M^6 - 9*L^2*M^2 + 14*M^4 - L^-2*M^6 + 2*L^2 - 14*M^2 + 4*L^-2*M^4 + 5 - 5*L^-2*M^2 + 2*L^-2|K11a175]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 8*L^2*M^4 - 6*M^6 - 9*L^2*M^2 + 14*M^4 - L^-2*M^6 + 2*L^2 - 14*M^2 + 4*L^-2*M^4 + 5 - 5*L^-2*M^2 + 2*L^-2|K3a1,K8a16]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 8*L^2*M^4 - 6*M^6 + L^4 - 11*L^2*M^2 + 15*M^4 - L^-2*M^6 + 5*L^2 - 17*M^2 + 4*L^-2*M^4 + 8 - 6*L^-2*M^2 + 3*L^-2|K11a316]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 8*L^2*M^4 - 6*M^6 + L^4 - 11*L^2*M^2 + 15*M^4 - L^-2*M^6 + 5*L^2 - 17*M^2 + 4*L^-2*M^4 + 8 - 6*L^-2*M^2 + 3*L^-2|K11a35]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 2*L^4*M^2 + 8*L^2*M^4 - 6*M^6 + L^4 - 12*L^2*M^2 + 16*M^4 - L^-2*M^6 + 6*L^2 - 20*M^2 + 4*L^-2*M^4 + 10 - 7*L^-2*M^2 + 4*L^-2|K11a14]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 10*L^2*M^4 - 7*M^6 + 2*L^4 - 17*L^2*M^2 + 20*M^4 - L^-2*M^6 + 10*L^2 - 27*M^2 + 5*L^-2*M^4 + 15 - 9*L^-2*M^2 + 6*L^-2|K3a1,K8a10]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 10*L^2*M^4 - 7*M^6 + L^4 - 15*L^2*M^2 + 19*M^4 - L^-2*M^6 + 6*L^2 - 23*M^2 + 5*L^-2*M^4 + 10 - 8*L^-2*M^2 + 4*L^-2|K3a1,K8a7]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 8*L^2*M^4 - 5*M^6 + 2*L^4 - 10*L^2*M^2 + 9*M^4 - L^-2*M^6 + 3*L^2 - 6*M^2 + 3*L^-2*M^4 + 1 - 2*L^-2*M^2 - L^-2|mK11a112]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 8*L^2*M^4 - 5*M^6 + 2*L^4 - 10*L^2*M^2 + 9*M^4 - L^-2*M^6 + 4*L^2 - 7*M^2 + 3*L^-2*M^4 + 3 - 2*L^-2*M^2|mK11a28]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 8*L^2*M^4 - 5*M^6 + 2*L^4 - 11*L^2*M^2 + 10*M^4 - L^-2*M^6 + 5*L^2 - 10*M^2 + 3*L^-2*M^4 + 5 - 3*L^-2*M^2 + L^-2|mK11a251]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 8*L^2*M^4 - 5*M^6 + 2*L^4 - 11*L^2*M^2 + 10*M^4 - L^-2*M^6 + 5*L^2 - 10*M^2 + 3*L^-2*M^4 + 5 - 3*L^-2*M^2 + L^-2|mK11a253]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 9*L^2*M^4 - 6*M^6 + 2*L^4 - 12*L^2*M^2 + 13*M^4 - L^-2*M^6 + 4*L^2 - 11*M^2 + 4*L^-2*M^4 + 3 - 4*L^-2*M^2|mK11a180]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 9*L^2*M^4 - 6*M^6 + 2*L^4 - 13*L^2*M^2 + 14*M^4 - L^-2*M^6 + 5*L^2 - 14*M^2 + 4*L^-2*M^4 + 5 - 5*L^-2*M^2 + L^-2|mK11a88]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 9*L^2*M^4 - 6*M^6 + 2*L^4 - 13*L^2*M^2 + 14*M^4 - L^-2*M^6 + 6*L^2 - 15*M^2 + 4*L^-2*M^4 + 7 - 5*L^-2*M^2 + 2*L^-2|mK11a257]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 9*L^2*M^4 - 6*M^6 + 2*L^4 - 15*L^2*M^2 + 16*M^4 - L^-2*M^6 + 9*L^2 - 22*M^2 + 4*L^-2*M^4 + 13 - 7*L^-2*M^2 + 5*L^-2|K11a44]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 9*L^2*M^4 - 6*M^6 + 2*L^4 - 15*L^2*M^2 + 16*M^4 - L^-2*M^6 + 9*L^2 - 22*M^2 + 4*L^-2*M^4 + 13 - 7*L^-2*M^2 + 5*L^-2|K11a47]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 3*L^4*M^2 + 9*L^2*M^4 - 6*M^6 + L^4 - 12*L^2*M^2 + 14*M^4 - L^-2*M^6 + 4*L^2 - 15*M^2 + 4*L^-2*M^4 + 6 - 5*L^-2*M^2 + 2*L^-2|K11a106]
[L^4*M^4 - 2*L^2*M^6 + M^8 + 4*L^2*M^4 - 4*M^6 - L^4 + 6*M^4 - L^-2*M^6 - 3*L^2 - M^2 + 2*L^-2*M^4 - 2 - L^-2*M^2 - L^-2|mK11a266]
[L^4*M^4 - 2*L^2*M^6 + M^8 - 4*L^4*M^2 + 12*L^2*M^4 - 8*M^6 + 3*L^4 - 23*L^2*M^2 + 25*M^4 - L^-2*M^6 + 14*L^2 - 36*M^2 + 6*L^-2*M^4 + 20 - 12*L^-2*M^2 + 8*L^-2|K3a1,K3a1,mK5a1]
[L^4*M^4 - 2*L^2*M^6 + M^8 + 5*L^2*M^4 - 5*M^6 - L^4 - 3*L^2*M^2 + 11*M^4 - L^-2*M^6 - L^2 - 9*M^2 + 3*L^-2*M^4 + 2 - 4*L^-2*M^2 + L^-2|K11a170]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 5*L^2*M^4 - 4*M^6 - 2*L^2*M^2 + 5*M^4 - L^-2*M^6 - 2*L^2 + M^2 + 2*L^-2*M^4 - 3 - 2*L^-2|K11a350]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 5*L^2*M^4 - 4*M^6 - 4*L^2*M^2 + 7*M^4 - L^-2*M^6 + L^2 - 6*M^2 + 2*L^-2*M^4 + 3 - 2*L^-2*M^2 + L^-2|K11a288]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 5*L^2*M^4 - 4*M^6 - L^4 - L^2*M^2 + 5*M^4 - L^-2*M^6 - 3*L^2 + 2*L^-2*M^4 - 2 - L^-2|mK11a73]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 6*L^2*M^4 - 5*M^6 - 6*L^2*M^2 + 11*M^4 - L^-2*M^6 + 2*L^2 - 11*M^2 + 3*L^-2*M^4 + 5 - 4*L^-2*M^2 + 2*L^-2|K11a326]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 6*L^2*M^4 - 5*M^6 - 6*L^2*M^2 + 11*M^4 - L^-2*M^6 + L^2 - 10*M^2 + 3*L^-2*M^4 + 3 - 4*L^-2*M^2 + L^-2|K11a233]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 6*L^2*M^4 - 5*M^6 - L^4 - 4*L^2*M^2 + 10*M^4 - L^-2*M^6 - L^2 - 8*M^2 + 3*L^-2*M^4 + 2 - 3*L^-2*M^2 + L^-2|K11a72]
[L^4*M^4 - 2*L^2*M^6 + M^8 - L^4*M^2 + 7*L^2*M^4 - 6*M^6 - 9*L^2*M^2 + 16*M^4 - L^-2*M^6 + 4*L^2 - 19*M^2 + 4*L^-2*M^4 + 9 - 7*L^-2*M^2 + 4*L^-2|K11a126]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 3*L^-6*M^2 + 3*L^-8*M^4 - 7*L^-8*M^2 - L^-10*M^4 + 4*L^-8 + 2*L^-10 + L^-12*M^2 - L^-12|mK11a361]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 4*L^-6*M^2 + 2*L^-8*M^4 - 2*L^-6 - 3*L^-8*M^2 - L^-10*M^4 + L^-10*M^2 + L^-12*M^2 - L^-12|mK11a341]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 4*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 4*L^-8*M^2 - L^-10*M^4 + 2*L^-8 + L^-10*M^2 + L^-10 + L^-12*M^2 - L^-12|mK11a360]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 4*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 4*L^-8*M^2 - L^-10*M^4 + L^-8 + 2*L^-10*M^2 - L^-10 + L^-12*M^2 - 2*L^-12|mK11a359]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 4*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 5*L^-8*M^2 + 3*L^-8 - 2*L^-10*M^2 + 3*L^-10|mK11n181]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 5*L^-6*M^2 + L^-8*M^4 - 2*L^-6 - 2*L^-8*M^2 + L^-8 - L^-10*M^2 + 2*L^-10|mK9a10]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 5*L^-6*M^2 + L^-8*M^4 - 3*L^-6 - L^-8*M^2 - L^-8 - L^-10*M^2 + L^-10|mK9a13]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 5*L^-6*M^2 + L^-8*M^4 - 4*L^-6 - 2*L^-8 - 2*L^-10*M^2 + 2*L^-10 + L^-12|mK3a1,mK7a4]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + 6*L^-6*M^2 - 4*L^-6 + 2*L^-8*M^2 - 3*L^-8|mK9n8]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 2*L^-6*M^2 + 3*L^-8*M^4 - 5*L^-8*M^2 - L^-10*M^4 + 2*L^-8 - L^-10*M^2 + 2*L^-10 + L^-12*M^2|mK11a200]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 3*L^-6*M^2 + 2*L^-8*M^4 - 3*L^-8*M^2 - L^-10*M^4 + L^-8 + L^-10*M^2 + L^-12*M^2 - L^-12|mK11a238]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 3*L^-6*M^2 + 2*L^-8*M^4 - 4*L^-8*M^2 + 3*L^-8 - 3*L^-10*M^2 + 4*L^-10 + L^-12|mK10a63]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 3*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 2*L^-8*M^2 - L^-10*M^4 + L^-10 + L^-12*M^2|mK11a95]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 3*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 2*L^-8*M^2 - L^-10*M^4 - L^-8 + L^-10*M^2 - L^-10 + L^-12*M^2 - L^-12|mK11a243]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 3*L^-6*M^2 + 2*L^-8*M^4 - L^-6 - 3*L^-8*M^2 + L^-8 - 3*L^-10*M^2 + 3*L^-10 + L^-12|mK10a55]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 4*L^-6*M^2 + L^-8*M^4 - 2*L^-6 - 2*L^-8 - L^-10*M^2|mK9a23]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 4*L^-6*M^2 + L^-8*M^4 - 2*L^-6 - L^-8 - 2*L^-10*M^2 + 2*L^-10 + L^-12|mK5a2,mK5a2]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 4*L^-6*M^2 + L^-8*M^4 - L^-6 - L^-8*M^2 - L^-10*M^2 + L^-10|mK9a18]
[L^-4*M^4 - 2*L^-4*M^2 - 2*L^-6*M^4 + L^-4 + 5*L^-6*M^2 - 3*L^-6 + 3*L^-8*M^2 - 4*L^-8 - L^-10|mK8a15]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + 2*L^-4 + 2*L^-6*M^2 - L^-6 + 2*L^-8*M^2 - 3*L^-8 - L^-10|mK3a1,mK5a2]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + 2*L^-4 + 2*L^-6*M^2 + L^-8*M^2 - L^-8|mK7a5]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + 2*L^-4 + L^-6*M^2 + L^-8*M^4 + L^-6 - 2*L^-8*M^2 + 2*L^-8 - 2*L^-10*M^2 + 3*L^-10 + L^-12|mK3a1,mK7a2]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + 2*L^-4 + L^-6*M^2 + L^-8*M^4 + L^-6 - 2*L^-8*M^2 + L^-8 - L^-10*M^2 + L^-10|mK9a7]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + 2*L^-4 + L^-6*M^2 + L^-8*M^4 + L^-6 - L^-8*M^2 - L^-10*M^4 + 2*L^-10*M^2 - L^-10 + L^-12*M^2 - L^-12|mK11a246]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + L^-4 + 2*L^-6*M^2 + L^-8*M^4 - 2*L^-8*M^2 - L^-10*M^4 + 3*L^-10*M^2 - 2*L^-10 + L^-12*M^2 - 2*L^-12|mK11a342]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + L^-4 + 2*L^-6*M^2 + L^-8*M^4 - 3*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + 2*L^-10|mK9a4]
[L^-4*M^4 - 3*L^-4*M^2 - L^-6*M^4 + L^-4 + 3*L^-6*M^2 - 2*L^-6 + L^-8*M^2 - 2*L^-8|mK7a3]
[L^-4*M^4 - 4*L^-4*M^2 + 2*L^-4 + L^-6 - L^-8*M^2 + L^-8 + L^-10|K10n22]
[L^-4*M^4 - 4*L^-4*M^2 + 3*L^-4 - L^-6*M^2 + 2*L^-6|K10n9]
[L^-4*M^4 - 4*L^-4*M^2 + 3*L^-4 - L^-6*M^2 + 2*L^-6|mK5a1]
[L^-4*M^4 - 4*L^-4*M^2 + 4*L^-4 - 2*L^-6*M^2 + 4*L^-6 + L^-8|mK3a1,mK3a1]
[L^-4*M^4 - 4*L^-6*M^4 + 5*L^-6*M^2 + 5*L^-8*M^4 - L^-6 - 8*L^-8*M^2 - L^-10*M^4 + 4*L^-8 - 4*L^-10*M^2 + 5*L^-10 + L^-12*M^2 + L^-12|mK11a329]
[L^-4*M^4 - 4*L^-6*M^4 + 6*L^-6*M^2 + 4*L^-8*M^4 - 2*L^-6 - 5*L^-8*M^2 - L^-10*M^4 + L^-8 - 2*L^-10*M^2 + 2*L^-10 + L^-12*M^2|mK11a292]
[L^-4*M^4 - 4*L^-6*M^4 + 7*L^-6*M^2 + 3*L^-8*M^4 - 3*L^-6 - 3*L^-8*M^2 - 4*L^-10*M^2 + 3*L^-10 + L^-12|mK10a120]
[-L^4*M^4 + L^2*M^6 + 2*L^4*M^2 - 2*L^2*M^4 - 2*M^6 - L^2*M^2 + 8*M^4 + L^2 - 10*M^2 + 3*L^-2*M^4 + 5 - 9*L^-2*M^2 + 5*L^-2 - L^-4*M^2 + 2*L^-4|K11a279]
[-L^4*M^4 + L^2*M^6 + 2*L^4*M^2 - 3*L^2*M^4 - M^6 + 2*L^2*M^2 + 3*M^4 - 2*M^2 + L^-2*M^4 + 1 - 2*L^-2*M^2|K10a108]
[-L^4*M^4 + L^2*M^6 + 2*L^4*M^2 - 3*L^2*M^4 - M^6 + 2*L^2*M^2 + 3*M^4 - 3*M^2 + 2*L^-2*M^4 + 3 - 6*L^-2*M^2 + 4*L^-2 - L^-4*M^2 + 2*L^-4|K11a97]
[-L^4*M^4 + L^2*M^6 + 2*L^4*M^2 - 3*L^2*M^4 - M^6 + 2*L^2*M^2 + 3*M^4 - L^2 - 2*M^2 + 2*L^-2*M^4 + 1 - 6*L^-2*M^2 + 3*L^-2 - L^-4*M^2 + 2*L^-4|K11a188]
[L^4*M^4 - L^2*M^6 - 2*L^4*M^2 + 3*L^2*M^4 + M^6 - 2*L^2*M^2 - 3*M^4 - L^2 + 3*M^2 - L^-2*M^4 - 1 + 2*L^-2*M^2 - L^-2|K10a32]
[L^4*M^4 - L^2*M^6 - 2*L^4*M^2 + 3*L^2*M^4 + M^6 + 2*L^4 - 5*L^2*M^2 - 2*M^4 + 3*L^2 + 2*M^2 - 2*L^-2*M^4 + 4*L^-2*M^2 - 3*L^-2 + L^-4*M^2 - L^-4|mK11a16]
[L^4*M^4 - L^2*M^6 - 2*L^4*M^2 + 3*L^2*M^4 + M^6 + 2*L^4 - 6*L^2*M^2 - M^4 + 4*L^2 - M^2 - 2*L^-2*M^4 + 2 + 3*L^-2*M^2 - 2*L^-2 + L^-4*M^2 - L^-4|mK11a38]
[L^4*M^4 - L^2*M^6 - 2*L^4*M^2 + 3*L^2*M^4 + M^6 + 2*L^4 - 6*L^2*M^2 - M^4 + 4*L^2 - M^2 - 2*L^-2*M^4 + 3 + 2*L^-2*M^2 + L^-4*M^2|K11a87]
[L^4*M^4 - L^2*M^6 - 2*L^4*M^2 + 3*L^2*M^4 + M^6 - 3*L^2*M^2 - 2*M^4 + M^2 - 2*L^-2*M^4 + 4*L^-2*M^2 - 2*L^-2 + L^-4*M^2 - L^-4|mK3a1,K8a14]
[-L^4*M^4 + L^2*M^6 + 2*L^4*M^2 - 3*L^2*M^4 - M^6 + L^2*M^2 + 4*M^4 + L^2 - 5*M^2 + L^-2*M^4 + 3 - 3*L^-2*M^2 + L^-2|K10a19]
