[1|K0a1]
[2*L^-4*M^4 - L^-6*M^6 - 7*L^-4*M^2 + 5*L^-6*M^4 + 4*L^-4 - 8*L^-6*M^2 + L^-8*M^4 + 5*L^-6 - 4*L^-8*M^2 + 3*L^-8 + L^-10|mK11n118]
[2*L^-4*M^4 - L^-6*M^6 - 7*L^-4*M^2 + 5*L^-6*M^4 + 5*L^-4 - 9*L^-6*M^2 + L^-8*M^4 + 6*L^-6 - 3*L^-8*M^2 + 2*L^-8|mK10n4]
[2*L^-4*M^4 - L^-6*M^6 - 7*L^-4*M^2 + 5*L^-6*M^4 + 6*L^-4 - 11*L^-6*M^2 + 2*L^-8*M^4 + 9*L^-6 - 6*L^-8*M^2 + 5*L^-8 - L^-10*M^2 + L^-10|mK3a1,mK8n3]
[2*L^6 - 3*L^4*M^2 + L^2*M^4 + 3*L^4 - L^2*M^2 - M^2|mK9n7]
[2*L^6*M^2 - 3*L^4*M^4 + L^2*M^6 - 2*L^6 + 7*L^4*M^2 - 3*L^2*M^4 - 5*L^4 + 5*L^2*M^2 - M^4 - 4*L^2 + M^2|K11n66]
[2*L^6*M^2 - 3*L^4*M^4 + L^2*M^6 - L^6 + 5*L^4*M^2 - 2*L^2*M^4 - 2*L^4 + 2*L^2*M^2 - M^4 - L^2 + 1|K11n163]
[-2*L^8 + 3*L^6*M^2 - L^4*M^4 - 2*L^6 - L^4*M^2 + L^2*M^4 + L^4 - M^2|mK11n140]
[-2*L^8 + 4*L^6*M^2 - 2*L^4*M^4 - 3*L^6 + 2*L^4*M^2 + L^2*M^4 - L^4 + L^2*M^2 - L^2 - M^2|mK11n170]
[2*L^8*M^2 - 2*L^6*M^4 - 3*L^8 + 6*L^6*M^2 + L^4*M^4 - 4*L^6 - 2*L^4*M^2|K9n8]
[2*L^8*M^2 - 3*L^6*M^4 + L^4*M^6 - 2*L^8 + 7*L^6*M^2 - 3*L^4*M^4 - 3*L^6 + 3*L^4*M^2 - L^2*M^4 - L^4 + 2*L^2*M^2 - L^2|mK11n103]
[2*L^8*M^2 - 3*L^6*M^4 + L^4*M^6 - 3*L^8 + 8*L^6*M^2 - 3*L^4*M^4 - 4*L^6 + 2*L^4*M^2 - L^2*M^4 + 2*L^2*M^2|mK11n137]
[-2*M^2 + 2*L^-2*M^4 + 2 - 3*L^-2*M^2 - 2*L^-4*M^4 + 2*L^-2 + 2*L^-4*M^2 + 3*L^-6*M^2 - 2*L^-6 - L^-8|mK11n68]
[-2*M^2 + 2*L^-2*M^4 + 2 - 4*L^-2*M^2 - L^-4*M^4 + 3*L^-2 - L^-4*M^2 + 2*L^-4 + 2*L^-6*M^2 - L^-6 - L^-8|mK11n29]
[2*M^2 - 2*L^-2*M^4 - 2 + 6*L^-2*M^2 + L^-4*M^4 - 5*L^-2 - L^-4*M^2 - L^-4 - L^-6*M^2 + L^-6|K11n65]
[-2*M^2 + 2*L^-2*M^4 + 3 - 5*L^-2*M^2 - L^-4*M^4 + 3*L^-2 + L^-4*M^2 + L^-6*M^2 - L^-6|K10n39]
[-2*M^2 + 2*L^-2*M^4 + 3 - 5*L^-2*M^2 - L^-4*M^4 + 4*L^-2 + 2*L^-4 + L^-6*M^2|mK10n21]
[-2*M^2 + 3*L^-2*M^4 - L^-4*M^6 + 2 - 6*L^-2*M^2 + 3*L^-4*M^4 + 3*L^-2 - 5*L^-4*M^2 + L^-6*M^4 + 3*L^-4 - L^-6*M^2 + L^-6|mK11n154]
[-2*M^2 + 3*L^-2*M^4 - L^-4*M^6 + 2 - 7*L^-2*M^2 + 4*L^-4*M^4 + 4*L^-2 - 8*L^-4*M^2 + L^-6*M^4 + 5*L^-4 - 2*L^-6*M^2 + 2*L^-6|mK11n160]
[-2*M^2 + 3*L^-2*M^4 - L^-4*M^6 + 3 - 7*L^-2*M^2 + 3*L^-4*M^4 + 4*L^-2 - 4*L^-4*M^2 + L^-6*M^4 + 2*L^-4 - L^-6*M^2|mK11n5]
[-2*M^2 + 3*L^-2*M^4 - L^-4*M^6 + 3 - 8*L^-2*M^2 + 4*L^-4*M^4 + 5*L^-2 - 7*L^-4*M^2 + L^-6*M^4 + 4*L^-4 - 2*L^-6*M^2 + L^-6|mK11n52]
[3*L^-2*M^2 - 2*L^-4*M^4 - 3*L^-2 + 4*L^-4*M^2 + L^-6*M^4 - 3*L^-4 - L^-6 - L^-8*M^2|K11n134]
[3*L^-2*M^2 - 2*L^-4*M^4 - 4*L^-2 + 5*L^-4*M^2 + L^-6*M^4 - 4*L^-4 - L^-6*M^2 - L^-8*M^2 + L^-8|K11n99]
[3*L^-4*M^4 - 2*L^-6*M^6 - 7*L^-4*M^2 + 7*L^-6*M^4 + 3*L^-4 - 8*L^-6*M^2 + 3*L^-8*M^4 + 3*L^-6 - 6*L^-8*M^2 + 2*L^-8 - L^-10*M^2 + L^-10|mK11n174]
[3*L^-4*M^4 - 2*L^-6*M^6 - 7*L^-4*M^2 + 7*L^-6*M^4 + 4*L^-4 - 9*L^-6*M^2 + 3*L^-8*M^4 + 4*L^-6 - 5*L^-8*M^2 + L^-8 - L^-10*M^2|mK11n185]
[3*L^-4*M^4 - 2*L^-6*M^6 - 8*L^-4*M^2 + 8*L^-6*M^4 + 5*L^-4 - 12*L^-6*M^2 + 3*L^-8*M^4 + 7*L^-6 - 7*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + L^-10|mK11n35]
[3*L^-4*M^4 - 2*L^-6*M^6 - 8*L^-4*M^2 + 8*L^-6*M^4 + 5*L^-4 - 12*L^-6*M^2 + 3*L^-8*M^4 + 7*L^-6 - 7*L^-8*M^2 + 4*L^-8 - L^-10*M^2 + L^-10|mK11n43]
[3*L^-4*M^4 - 2*L^-6*M^6 - 9*L^-4*M^2 + 9*L^-6*M^4 + 7*L^-4 - 16*L^-6*M^2 + 3*L^-8*M^4 + 11*L^-6 - 8*L^-8*M^2 + 6*L^-8 - L^-10*M^2 + L^-10|mK11n72]
[L^10 - 2*L^8*M^2 + L^4*M^6 + 2*L^8 + L^6*M^2 - 5*L^4*M^4 + 6*L^4*M^2 - L^2*M^4 - 3*L^4 + 4*L^2*M^2 - 3*L^2|K11n31]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^6*M^2 - 2*L^4*M^4 - 2*L^6 + L^4*M^2 + L^2*M^4 - L^4 + L^2*M^2 - L^2 - M^2|mK11a145]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^6*M^2 - 2*L^4*M^4 - L^6 + L^2*M^4 + L^4 + L^2*M^2 - M^2|mK11a219]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - 2*L^4*M^4 + 3*L^4*M^2 + L^2*M^4 - 2*L^4 - L^2 - M^2 + 1|K5a2,K6a1]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - 2*L^6*M^2 + 2*L^6 - 2*L^4*M^2 + L^4 + L^2*M^2 - L^2|mK11n1]
[L^10 - 2*L^8*M^2 + L^6*M^4 + 2*L^8 - 2*L^6*M^2 + 3*L^6 - 3*L^4*M^2 + 3*L^4 + L^2*M^2|mK11n91]
